id,place_name,category_name,category_group_code,category_group_name,phone,address_name,road_address_name,x,y,place_url,distance,wheelchair,animal,keyword,evalnum,rate
1352418425,한국한성화교소학교 유치원,"교육,학문 > 유아교육 > 유치원",PS3,"어린이집,유치원",,서울 중구 명동2가 83-8,서울 중구 명동2길 35,126.98310746391,37.5617036613156,http://place.map.kakao.com/1352418425,,unknown,unknown,,0,0
15945568,한국은행어린이집,"교육,학문 > 유아교육 > 어린이집",PS3,"어린이집,유치원",02-750-6701,서울 중구 남대문로2가 111-1,서울 중구 남대문로 55,126.981107325612,37.5624872252546,http://place.map.kakao.com/15945568,,unknown,unknown,,0,0
8367816,서울시청 직장어린이집,"교육,학문 > 유아교육 > 어린이집",PS3,"어린이집,유치원",02-775-5491,서울 중구 서소문동 37,서울 중구 서소문로11길 24,126.973111487371,37.5639344772726,http://place.map.kakao.com/8367816,,unknown,unknown,,2,5.0
10643787,영락유치원,"교육,학문 > 유아교육 > 유치원",PS3,"어린이집,유치원",02-2277-5878,서울 중구 저동2가 69-14,서울 중구 수표로 33,126.98875953706256,37.563546872640174,http://place.map.kakao.com/10643787,,unknown,unknown,,1,3.0
21329840,영락교회어린이집,"교육,학문 > 유아교육 > 어린이집",PS3,"어린이집,유치원",02-2266-5878,서울 중구 저동1가 6,서울 중구 수표로 33,126.98870520742658,37.56355047144073,http://place.map.kakao.com/21329840,,unknown,unknown,,0,0
8646036,경찰청어린이집,"교육,학문 > 유아교육 > 어린이집",PS3,"어린이집,유치원",02-363-9675,서울 서대문구 미근동 31-8,서울 서대문구 통일로 97,126.966899722981,37.5641743661583,http://place.map.kakao.com/8646036,,unknown,unknown,,0,0
27370879,한화태평로어린이집,"교육,학문 > 유아교육 > 어린이집",PS3,"어린이집,유치원",02-6366-7120,서울 중구 태평로2가 43,서울 중구 세종대로 92,126.97759809797748,37.56423544560288,http://place.map.kakao.com/27370879,,unknown,unknown,,0,0
11658476,우리누리어린이집,"교육,학문 > 유아교육 > 어린이집",PS3,"어린이집,유치원",02-2260-0257,서울 중구 저동1가 1-1,서울 중구 삼일대로 340,126.988137926785,37.5649424550824,http://place.map.kakao.com/11658476,,unknown,unknown,,0,0
11658380,배화어린이집,"교육,학문 > 유아교육 > 어린이집",PS3,"어린이집,유치원",02-312-2100,서울 서대문구 충정로2가 40,서울 서대문구 경기대로 82,126.96474835679,37.5659180719107,http://place.map.kakao.com/11658380,,unknown,unknown,#제로페이 ,1,5.0
369559765,명동하나금융그룹직장어린이집,"교육,학문 > 유아교육 > 어린이집",PS3,"어린이집,유치원",02-319-9606,서울 중구 을지로2가 181,서울 중구 을지로 66,126.98501730096986,37.56514392344331,http://place.map.kakao.com/369559765,,unknown,unknown,#제로페이 ,0,0
800901125,IBK참좋은어린이집,"교육,학문 > 유아교육 > 어린이집",PS3,"어린이집,유치원",02-2031-3394,서울 중구 을지로2가 206,서울 중구 을지로 82,126.987082885318,37.5657063890818,http://place.map.kakao.com/800901125,,unknown,unknown,,0,0
1490054845,한숲어린이집,"교육,학문 > 유아교육 > 어린이집",PS3,"어린이집,유치원",02-735-1712,서울 종로구 평동 222,서울 종로구 통일로 134,126.96625563996082,37.56679788437859,http://place.map.kakao.com/1490054845,,unknown,unknown,,0,0
27370486,농협중앙회어린이집,"교육,학문 > 유아교육 > 어린이집",PS3,"어린이집,유치원",02-2080-4941,서울 중구 충정로1가 75-1,서울 중구 새문안로 16,126.968451701551,37.5664056574255,http://place.map.kakao.com/27370486,,unknown,unknown,,0,0
956818138,농협중앙회 별관 어린이집,"교육,학문 > 유아교육 > 어린이집",PS3,"어린이집,유치원",02-2080-8135,서울 중구 충정로1가 75-1,서울 중구 새문안로 16,126.968555796889,37.5664993887724,http://place.map.kakao.com/956818138,,unknown,unknown,,0,0
